id,name,province,district,subdistrict,phone,lat,lng,type,typeAdd,service,capacity,evaluationResult,status,resolved_location,detail
31,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลสำราญราษฎร์ จังหวัดเชียงใหม่,เชียงใหม่,ดอยสะเก็ด,สำราญราษฎร์,-,18.8166515,99.1003684,อาคารสถานพัฒนาเด็กปฐมวัย,,,26,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันต้นม่วงเหนือ, บ้าน ณัทญาวิวล์ เชียงใหม่, สำราญราษฎร์, อำเภอดอยสะเก็ด, จังหวัดเชียงใหม่, 50220, ประเทศไทย",district=อำเภอดอยสะเก็ด
35,สำนักงานสาธารณสุขอำเภอฝาง,เชียงใหม่,ฝาง,เวียง,53451233,19.91962,99.21266,อาคารสำนักงาน,,"ห้องสุขา, ที่จอดรถ, WIFI",21,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
36,ห้องประชุมศูนย์ข้อมูลข่าวสาร อบต.ดอนแก้ว,เชียงใหม่,แม่ริม,ดอนแก้ว,053-121585ต่อ 28,18.85673187,98.96879186,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"อาหาร, น้ำดื่ม, ห้องสุขา, WIFI",16,ยังไม่ได้ตรวจสอบ,VALID,"บ้านป่ารวก หมู่ 6, เหมืองแก้ว, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50300, ประเทศไทย",district=อำเภอแม่ริม
37,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบหาร,เชียงใหม่,สันป่าตอง,ทุ่งต้อม,53823389,18.628148,98.921746,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",10,ผ่าน,VALID,"บ้านสบหาร, ทุ่งต้อม, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50340, ประเทศไทย",district=อำเภอสันป่าตอง
40,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีคำชมภู,เชียงใหม่,สารภี,ป่าบง,650031930,18.73780734,99.05019952,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",16,ผ่าน,VALID_NO_DISTRICT,"บ้านต้นโชค, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
41,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ฮะ,เชียงใหม่,หางดง,บ้านปง,805011198,18.79524313,98.83693156,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",20,ผ่าน,VALID,"บ้านแม่ฮะ, บ้านเก๊าเดื่อ, บ้านปง, อำเภอหางดง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอหางดง
43,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าต้นกวาว,เชียงใหม่,สารภี,ชมภู,053-438200,18.726912,99.0609408,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",9,ผ่าน,VALID_NO_DISTRICT,"บ้านต้นโชค, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
44,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลหนองแฝก,เชียงใหม่,สารภี,หนองแฝก,053-968-033,18.6946601,99.0214588,อาคารสถานพัฒนาเด็กปฐมวัย,,ไม่มี,66,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านหนองแฝก หมู่ 4, บ้านป่าเก็ดถี, หนองแฝก, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
45,รพ.สต.บ้านแม่กุ้งหลวง,เชียงใหม่,สันป่าตอง,ทุ่งต้อม,053-312196,18.60945,98.91881,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",13,ผ่าน,VALID,"บ้านสันคะยอม, บ้านหนองสะเรียม, ยุหว่า, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50120, ประเทศไทย",district=อำเภอสันป่าตอง
46,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอง,เชียงใหม่,เวียงแหง,เปียงหลวง,834803838,19.6229426,98.6380705,สถานบริการสาธารณสุข,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",21,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"Ban Sam Pu, Ban San Duang Di, แสนไห, อำเภอเวียงแหง, จังหวัดเชียงใหม่, ประเทศไทย",
48,รพ.สต.ยางเนิ้ง,เชียงใหม่,สารภี,ยางเนิ้ง,53321416,18.7162967,99.0288323,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI, อื่นๆ",6,ผ่าน,VALID_NO_DISTRICT,"บ้านดงสวรรค์, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
50,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านถิ่นสำราญ,เชียงใหม่,ดอยเต่า,ดอยเต่า,659161537,17.92391,98.70883,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",10,ผ่าน,VALID,"บ้านแปลง 3, ท่าเดื่อ–มืดกา, อำเภอดอยเต่า, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอดอยเต่า
51,โรงพยาบาลส่งเสริมสุขภาพ,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,905559076,18.7730337,98.9947856,สถานบริการสาธารณสุข,อื่นๆ (กรมอนามัย),อื่นๆ,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
55,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาฮ่อง,เชียงใหม่,แม่แจ่ม,แม่ศึก,819935700,18.6881228,98.3369354,สถานบริการสาธารณสุข,รพ.สต.,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI, อื่นๆ",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านแมศึก, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แจ่ม
56,เทศบาลตำบลจอมแจ้ง,เชียงใหม่,แม่แตง,ขี้เหล็ก,53372192,19.06686358,98.93797874,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",10,ยังไม่ได้ตรวจสอบ,VALID,"บ้านร่ำเปิง, บ้านหนองโค้ง, จอมแจ้ง, อำเภอแม่แตง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แตง
58,โรงพยาบาลดอยเต่า,เชียงใหม่,ดอยเต่า,ท่าเดื่อ,53469128,17.950796,98.685954,สถานบริการสาธารณสุข,รพช.,อื่นๆ,23,ยังไม่ได้ตรวจสอบ,VALID,"บ้านแปลง 5, ท่าเดื่อ–มืดกา, อำเภอดอยเต่า, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอดอยเต่า
59,ศูนย์พัฒนาเด็กเล็ก อบต.ดอนแก้ว 2 (ห้องที่1),เชียงใหม่,แม่ริม,ดอนแก้ว,53862610,18.87779709,98.96865911,อาคารสถานพัฒนาเด็กปฐมวัย,,ไม่มี,24,ยังไม่ได้ตรวจสอบ,VALID,"หมู่บ้านดารารายณ์, ดอนแก้ววิลเลจ, เหมืองแก้ว, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50290, ประเทศไทย",district=อำเภอแม่ริม
60,รพ.สต.บ้านสันต้นแหน,เชียงใหม่,ดอยสะเก็ด,แม่คือ,841566069,18.78369812,99.10152825,สถานบริการสาธารณสุข,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา",4,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันต้นแหน, บ้านแม่คือ, แม่คือ, อำเภอดอยสะเก็ด, จังหวัดเชียงใหม่, 50220, ประเทศไทย",district=อำเภอดอยสะเก็ด
61,ศูนย์อนามัยที่1เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53276856,18.7732954,98.9948622,สถานบริการสาธารณสุข,รพช.,น้ำดื่ม,6,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
63,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโหล่งปง,เชียงใหม่,แม่แจ่ม,กองแขก,896358499,18.318722,98.357444,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ผ่าน,VALID,"บ้านโหล่งปง, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แจ่ม
66,โรงพยาบาลฝาง,เชียงใหม่,ฝาง,เวียง,53451444,19.91372,99.20642,สถานบริการสาธารณสุข,รพท.,ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ,8,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
67,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่าสา,เชียงใหม่,สารภี,สันทราย,53966041,18.6459047,98.96425073,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",1,ผ่าน,VALID_NO_DISTRICT,"ปากคลอง, สันทรายท่าฉาง, สันทรายมหาวงศ์, อำเภอสารภี, จังหวัดเชียงใหม่, 50340, ประเทศไทย",
69,ศูนย์อนามัยที่ 1 เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53272740,18.774608,98.9832095,อาคารสำนักงาน,,ไม่มี,13,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
71,เทศบาลตำบลแม่แรม,เชียงใหม่,แม่ริม,ริมใต้,811122348,18.92073,98.91794,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"ห้องสุขา, ที่จอดรถ, WIFI",10,ยังไม่ได้ตรวจสอบ,VALID,"บ้านอัอย, ริมเหนือ, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50180, ประเทศไทย",district=อำเภอแม่ริม
72,เทศบาลตำบลแม่ริม,เชียงใหม่,แม่ริม,ริมใต้,53299523,18.9168,98.9482,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",40,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสุโท, แม่ริม, ริมเหนือ, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50180, ประเทศไทย",district=อำเภอแม่ริม
73,รพ.สต.บ้านป่าแงะ,เชียงใหม่,ดอยสะเก็ด,ตลาดขวัญ,894163996,18.840871,99.08933,สถานบริการสาธารณสุข,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",50,ยังไม่ได้ตรวจสอบ,VALID,"บ้านป่าดู่, บ้านพยากดอนแก้ว, ตลาดขวัญ, อำเภอดอยสะเก็ด, จังหวัดเชียงใหม่, 50220, ประเทศไทย",district=อำเภอดอยสะเก็ด
74,โรงพยาบาลสันป่าตอง,เชียงใหม่,สันป่าตอง,ยุหว่า,53931700,18.59610566,98.885853,ศูนย์ประชุม หอประชุม ห้องประชุม ศูนย์แสดงสินค้า,,"น้ำดื่ม, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านข่วงมื่น, บ้ากลางทุ่ง, ยุหว่า, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50120, ประเทศไทย",district=อำเภอสันป่าตอง
75,โรงพยาบาลส่งเสริมสุขภาพ ศูนย์อนามัยที่1เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,053-276856ต่อ123,18.78996387,98.97490947,สถานบริการสาธารณสุข,อื่นๆ (60เตียง (มารดาหลังคลอดและทารก)),,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
76,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเกียน,เชียงใหม่,อมก๋อย,นาเกียน,910047837,17.79871486,98.15312549,สถานบริการสาธารณสุข,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา",12,ยังไม่ได้ตรวจสอบ,VALID,"อำเภออมก๋อย, จังหวัดเชียงใหม่, 50310, ประเทศไทย",district=อำเภออมก๋อย
77,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลหนองตองพัฒนา,เชียงใหม่,หางดง,หนองตอง,897588120,18.62101806,98.94161536,อาคารสถานพัฒนาเด็กปฐมวัย,,ไม่มี,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านหนองบัว, บ้านหนองไคร้เหนือ, หนองตองพัฒนา, อำเภอหางดง, จังหวัดเชียงใหม่, 50340, ประเทศไทย",district=อำเภอหางดง
78,ศูนย์อนามัยที่1 เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,086-9114560,18.773436,98.9944886,สถานบริการสาธารณสุข,อื่นๆ,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ",,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
80,ศูนย์พัฒนาเด็กเล็ก IT เฉลิมพระเกียรติ บ้านดอนแก้ว,เชียงใหม่,สารภี,ดอนแก้ว,956928390,18.68789,98.99493,อาคารสถานพัฒนาเด็กปฐมวัย,,ไม่มี,,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านนำโจ้, บ้านดอนแก้ว, ดอนแก้ว, อำเภอสารภี, จังหวัดเชียงใหม่, ประเทศไทย",
81,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านขันแก้ว,เชียงใหม่,หางดง,หารแก้ว,53023364,18.6539929,98.9355845,สถานบริการสาธารณสุข,รพ.สต.,ไม่มี,,ยังไม่ได้ตรวจสอบ,VALID,"Ban Rong Yaeng, หารแก้ว, หนองแก๋ว, อำเภอหางดง, จังหวัดเชียงใหม่, 50340, ประเทศไทย",district=อำเภอหางดง
83,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองแขก,เชียงใหม่,แม่แจ่ม,กองแขก,861933835,18.432127,98.3877584,สถานบริการสาธารณสุข,รพ.สต.,"ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านกองแขก, ท่าผา, อำเภอแม่แจ่ม, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่แจ่ม
84,ห้องประชุมองค์การบริการส่วนตำบลแม่สา,เชียงใหม่,แม่ริม,แม่สา,53298047,18.90291666,98.94892221,อาคารสำนักงาน,,"ห้องสุขา, ที่จอดรถ, WIFI",36,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสุโท, แม่ริม, ริมเหนือ, อำเภอแม่ริม, จังหวัดเชียงใหม่, 50180, ประเทศไทย",district=อำเภอแม่ริม
85,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไร่,เชียงใหม่,หางดง,บ้านแหวน,53431799,18.71485,98.91894,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",54,ผ่าน,VALID,"บ้านห้วยเสี้ยว, บ้านดงหลวง, แม่ท่าช้าง, อำเภอหางดง, จังหวัดเชียงใหม่, 50230, ประเทศไทย",district=อำเภอหางดง
